,X_i,Y_i,Z_i,X_f,Y_f,Z_f,Cu [%],Au [ppm],Ton [t],B [$]
36,50.0,105.0,35.0,65.0,115.0,60.0,1.1007211303697062,0.28902431184192934,21994.22,1456157.39
37,50.0,105.0,40.0,65.0,115.0,65.0,0.9410409547706434,0.25940253467082663,21807.96,1156194.19
38,50.0,105.0,45.0,65.0,115.0,70.0,0.812792100970189,0.23335973349514594,18935.489999999998,799781.6900000001
39,50.0,110.0,15.0,65.0,120.0,40.0,0.4412206470430138,0.09834776418080489,20873.109999999997,222280.62999999995
40,50.0,110.0,20.0,65.0,120.0,45.0,0.6254420174334063,0.147533633432846,21132.989999999998,550560.97
41,50.0,110.0,25.0,65.0,120.0,50.0,0.803294049669312,0.19921466770738017,21408.39,877943.77
42,50.0,110.0,30.0,65.0,120.0,55.0,0.9526547644146685,0.24606749581680387,21676.010000000002,1166261.9
43,50.0,110.0,35.0,65.0,120.0,60.0,1.013331078431283,0.2759830397846995,21878.26,1295069.79
44,50.0,110.0,40.0,65.0,120.0,65.0,0.9771717859133686,0.2822343436358993,21850.219999999998,1234959.58
45,50.0,110.0,45.0,65.0,120.0,70.0,0.9226776687107564,0.27749048937670445,19089.18,993227.96
46,50.0,115.0,20.0,65.0,125.0,45.0,0.33430323988546096,0.07741090122544493,20785.92,38109.82999999999
47,50.0,115.0,25.0,65.0,125.0,50.0,0.4624429169444939,0.11389433051478773,20981.269999999997,262644.68000000005
48,50.0,115.0,30.0,65.0,125.0,55.0,0.5962886267167692,0.15487542630230994,21193.879999999997,505500.74999999994
49,50.0,115.0,35.0,65.0,125.0,60.0,0.7212739276821181,0.20058399798145352,21441.17,743489.73
50,50.0,115.0,40.0,65.0,125.0,65.0,0.7808771423641199,0.23122719867742592,21557.96,862111.6700000002
51,50.0,115.0,45.0,65.0,125.0,70.0,0.7850478005109146,0.24101167095246046,18930.76,764477.84
52,50.0,120.0,35.0,65.0,130.0,60.0,0.3645656590851968,0.10167498114906148,20927.339999999997,91639.99999999997
53,50.0,120.0,40.0,65.0,130.0,65.0,0.4274792036838174,0.12693968606456157,21110.709999999995,207447.87
54,50.0,120.0,45.0,65.0,130.0,70.0,0.44617732487008543,0.1369293962702697,18594.909999999996,211872.63
55,50.0,185.0,30.0,65.0,195.0,55.0,0.3387584009364647,0.07502184988308606,20810.18,38671.09999999995
56,50.0,185.0,35.0,65.0,195.0,60.0,0.3554962064635739,0.08075801157564787,20842.03,64263.15999999996
57,50.0,185.0,40.0,65.0,195.0,65.0,0.32691520833463344,0.07845257838799691,20832.589999999997,19499.169999999962
58,50.0,190.0,30.0,65.0,200.0,55.0,0.3262273209433163,0.071413019938218,20824.829999999994,14889.239999999969
59,50.0,190.0,35.0,65.0,200.0,60.0,0.33932373792260684,0.07592417416193227,20850.94,36885.149999999965
60,55.0,90.0,0.0,70.0,100.0,25.0,0.41798364268682175,0.08324666156094179,20708.78,184887.53999999992
61,55.0,90.0,5.0,70.0,100.0,30.0,0.5804849457378188,0.1099512307782429,20826.66,457086.13999999996
62,55.0,90.0,10.0,70.0,100.0,35.0,0.6837210222758862,0.12614988829074808,20920.379999999997,635330.98
63,55.0,90.0,15.0,70.0,100.0,40.0,0.7005179762760707,0.12501554955280117,20945.94,658790.7
64,55.0,90.0,20.0,70.0,100.0,45.0,0.6286575647452564,0.10824293655467618,20885.699999999997,534001.2699999999
65,55.0,90.0,25.0,70.0,100.0,50.0,0.5246616307593985,0.0879204634187948,20810.55,351531.43999999994
66,55.0,90.0,30.0,70.0,100.0,55.0,0.35413881468671654,0.05948429839095339,20701.7,62357.36999999994
67,55.0,95.0,0.0,70.0,105.0,25.0,0.6429771915713745,0.13392715599675215,20899.729999999996,572795.28
68,55.0,95.0,5.0,70.0,105.0,30.0,0.9390227005002784,0.18986298266877835,21146.23,1092886.76
69,55.0,95.0,10.0,70.0,105.0,35.0,1.1937350267499636,0.23832648695027986,21398.16,1556281.72
70,55.0,95.0,15.0,70.0,105.0,40.0,1.3631342289957595,0.26962593285309533,21600.399999999998,1872494.4200000002
71,55.0,95.0,20.0,70.0,105.0,45.0,1.4037096939302496,0.2763548160704141,21686.56,1957622.82
72,55.0,95.0,25.0,70.0,105.0,50.0,1.3067465627568122,0.25800067867662685,21659.799999999996,1773304.7799999998
73,55.0,95.0,30.0,70.0,105.0,55.0,1.062794216731128,0.21283138584781697,21490.959999999995,1321179.53
74,55.0,95.0,35.0,70.0,105.0,60.0,0.7729887085856736,0.15806972264769262,21244.46,801088.0499999999
75,55.0,95.0,40.0,70.0,105.0,65.0,0.5046151896140533,0.10652641159246264,20986.049999999996,328200.75
76,55.0,100.0,0.0,70.0,110.0,25.0,0.6304799873642193,0.13569920619536166,20893.049999999996,560697.0
77,55.0,100.0,5.0,70.0,110.0,30.0,1.007595582704818,0.21147921328298927,21219.32,1234039.25
78,55.0,100.0,10.0,70.0,110.0,35.0,1.382809677083454,0.28802276498015766,21607.75,1929356.0999999999
79,55.0,100.0,15.0,70.0,110.0,40.0,1.675012871626403,0.35017177034124264,21974.69,2492657.52
80,55.0,100.0,20.0,70.0,110.0,45.0,1.8436190516428848,0.3907823089961197,22248.37,2842806.83
81,55.0,100.0,25.0,70.0,110.0,50.0,1.8587493066763605,0.40191388138873724,22392.14,2885096.73
82,55.0,100.0,30.0,70.0,110.0,55.0,1.695952225296349,0.37514570331500047,22347.809999999998,2569141.3600000003
83,55.0,100.0,35.0,70.0,110.0,60.0,1.388512035960321,0.3165412369992511,22126.61,1973468.15
84,55.0,100.0,40.0,70.0,110.0,65.0,1.023938040363045,0.24300709189861155,21751.579999999998,1278712.57
85,55.0,100.0,45.0,70.0,110.0,70.0,0.7716471900336506,0.19178830143856973,18757.519999999997,710578.41
86,55.0,105.0,0.0,70.0,115.0,25.0,0.3885905006901927,0.08581478697213787,20711.609999999997,136434.86999999994
87,55.0,105.0,5.0,70.0,115.0,30.0,0.7144774981257365,0.15702597788963865,21008.249999999996,711179.77
88,55.0,105.0,10.0,70.0,115.0,35.0,1.0968752169332932,0.24218932699876441,21406.35,1407476.56
89,55.0,105.0,15.0,70.0,115.0,40.0,1.4749455669262026,0.3301281552936313,21867.22,2133410.31
